limite acidentes
"n"  9
"n" 11
"n"  9
"n" 20
"n" 31
"n" 26
"n" 18
"n" 19
"n" 18
"n" 13
"n" 29
"n" 40
"n" 28
"n" 17
"n" 15
"n" 21
"n" 24
"n" 15
"n" 32
"n" 22
"n" 24
"n" 11
"n" 27
"s" 12
"s" 41
"s" 15
"s" 18
"s" 11
"s" 19
"s" 19
"s"  9
"s" 21
"s" 22
"s" 23
"s" 14
"s" 19
"s" 15
"s" 13
"s" 22
"s" 42
"s" 29
"s" 21
"s" 12
"s" 16
"s" 17
"n" 27
"n" 37
"n" 32
"n" 25
"n" 20
"n" 40
"n" 21
"n" 18
"n" 35
"n" 21
"n" 25
"n" 34
"n" 42
"n" 27
"n" 34
"n" 47
"n" 36
"n" 15
"n" 26
"n" 27
"n" 18
"n" 16
"n" 32
"n" 28
"n" 17
"n" 16
"n" 19
"n" 18
"n" 22
"n" 37
"n" 29
"n" 18
"n" 14
"n" 14
"n" 18
"n" 21
"n" 39
"n" 39
"n" 21
"n" 15
"n" 17
"n" 20
"n" 24
"n" 30
"n" 25
"n"  8
"n" 21
"n"  9
"n" 20
"n" 15
"n" 14
"n" 30
"n" 23
"n" 15
"n" 14
"n" 16
"n" 20
"s" 17
"s" 23
"s" 16
"s" 20
"s" 13
"s" 13
"s"  9
"s" 10
"s" 27
"s" 12
"s"  7
"s" 11
"s" 15
"s" 19
"s" 32
"s" 22
"s" 24
"s"  9
"n" 10
"n" 14
"n" 18
"n" 26
"n" 38
"n" 31
"n" 12
"n"  8
"n" 22
"n" 17
"n" 31
"n" 49
"n" 23
"n" 14
"n" 25
"n" 24
"n" 18
"n" 19
"s" 29
"s" 17
"s" 17
"s" 15
"s" 25
"s"  9
"s" 16
"s" 25
"s" 25
"s" 16
"s" 22
"s" 21
"s" 17
"s" 26
"s" 41
"s" 25
"s" 12
"s" 17
"n" 21
"n" 19
"n" 24
"n" 44
"n" 31
"n" 21
"n" 20
"n" 19
"n" 20
"n" 29
"n" 48
"n" 36
"n" 15
"n" 16
"n" 29
"n" 12
"s" 24
"s" 26
"s" 16
"s" 15
"s" 12
"s" 22
"s" 24
"s" 16
"s" 25
"s" 14
"s" 15
"s"  9
