"Plant" "Type" "Treatment" "conc" "uptake"
"1" "Qn1" "Quebec" "nonchilled" 95 16
"2" "Qn1" "Quebec" "nonchilled" 175 30.4
"3" "Qn1" "Quebec" "nonchilled" 250 34.8
"4" "Qn1" "Quebec" "nonchilled" 350 37.2
"5" "Qn1" "Quebec" "nonchilled" 500 35.3
"6" "Qn1" "Quebec" "nonchilled" 675 39.2
"7" "Qn1" "Quebec" "nonchilled" 1000 39.7
"8" "Qn2" "Quebec" "nonchilled" 95 13.6
"9" "Qn2" "Quebec" "nonchilled" 175 27.3
"10" "Qn2" "Quebec" "nonchilled" 250 37.1
"11" "Qn2" "Quebec" "nonchilled" 350 41.8
"12" "Qn2" "Quebec" "nonchilled" 500 40.6
"13" "Qn2" "Quebec" "nonchilled" 675 41.4
"14" "Qn2" "Quebec" "nonchilled" 1000 44.3
"15" "Qn3" "Quebec" "nonchilled" 95 16.2
"16" "Qn3" "Quebec" "nonchilled" 175 32.4
"17" "Qn3" "Quebec" "nonchilled" 250 40.3
"18" "Qn3" "Quebec" "nonchilled" 350 42.1
"19" "Qn3" "Quebec" "nonchilled" 500 42.9
"20" "Qn3" "Quebec" "nonchilled" 675 43.9
"21" "Qn3" "Quebec" "nonchilled" 1000 45.5
"22" "Qc1" "Quebec" "chilled" 95 14.2
"23" "Qc1" "Quebec" "chilled" 175 24.1
"24" "Qc1" "Quebec" "chilled" 250 30.3
"25" "Qc1" "Quebec" "chilled" 350 34.6
"26" "Qc1" "Quebec" "chilled" 500 32.5
"27" "Qc1" "Quebec" "chilled" 675 35.4
"28" "Qc1" "Quebec" "chilled" 1000 38.7
"29" "Qc2" "Quebec" "chilled" 95 9.3
"30" "Qc2" "Quebec" "chilled" 175 27.3
"31" "Qc2" "Quebec" "chilled" 250 35
"32" "Qc2" "Quebec" "chilled" 350 38.8
"33" "Qc2" "Quebec" "chilled" 500 38.6
"34" "Qc2" "Quebec" "chilled" 675 37.5
"35" "Qc2" "Quebec" "chilled" 1000 42.4
"36" "Qc3" "Quebec" "chilled" 95 15.1
"37" "Qc3" "Quebec" "chilled" 175 21
"38" "Qc3" "Quebec" "chilled" 250 38.1
"39" "Qc3" "Quebec" "chilled" 350 34
"40" "Qc3" "Quebec" "chilled" 500 38.9
"41" "Qc3" "Quebec" "chilled" 675 39.6
"42" "Qc3" "Quebec" "chilled" 1000 41.4
