fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;;
0.247787611;0.397260274;0;0.068493151;0.106844741;0.14084507;0.098939929;0.567547724;0.606299213;0.137724551;0.153846154;5;;
0.283185841;0.520547945;0;0.116438356;0.143572621;0.338028169;0.215547703;0.494126285;0.362204724;0.209580838;0.215384615;5;;
0.283185841;0.438356164;0.04;0.095890411;0.133555927;0.197183099;0.169611307;0.508810573;0.409448819;0.191616766;0.215384615;5;;
0.584070796;0.109589041;0.56;0.068493151;0.105175292;0.225352113;0.190812721;0.582232012;0.330708661;0.149700599;0.215384615;6;;
0.247787611;0.397260274;0;0.068493151;0.106844741;0.14084507;0.098939929;0.567547724;0.606299213;0.137724551;0.153846154;5;;
0.247787611;0.369863014;0;0.061643836;0.105175292;0.169014085;0.120141343;0.567547724;0.606299213;0.137724551;0.153846154;5;;
0.292035398;0.328767123;0.06;0.047945205;0.095158598;0.197183099;0.187279152;0.464757709;0.440944882;0.077844311;0.153846154;5;;
0.238938053;0.363013699;0;0.020547945;0.088480801;0.197183099;0.053003534;0.332599119;0.511811024;0.083832335;0.246153846;7;;
0.283185841;0.315068493;0.02;0.075342466;0.101836394;0.112676056;0.042402827;0.494126285;0.488188976;0.143712575;0.169230769;7;;
0.256637168;0.260273973;0.36;0.356164384;0.098497496;0.225352113;0.339222615;0.567547724;0.480314961;0.281437126;0.323076923;5;;
0.185840708;0.315068493;0.08;0.061643836;0.141903172;0.197183099;0.208480565;0.42804699;0.42519685;0.125748503;0.123076923;5;;
0.256637168;0.260273973;0.36;0.356164384;0.098497496;0.225352113;0.339222615;0.567547724;0.480314961;0.281437126;0.323076923;5;;
0.088495575;0.339041096;0;0.047945205;0.128547579;0.211267606;0.187279152;0.310572687;0.661417323;0.113772455;0.230769231;5;;
0.283185841;0.335616438;0.29;0.047945205;0.170283806;0.112676056;0.081272085;0.538179148;0.409448819;0.736526946;0.107692308;5;;
0.380530973;0.342465753;0.18;0.198630137;0.273789649;0.718309859;0.491166078;0.626284875;0.330708661;0.329341317;0.123076923;5;;
0.380530973;0.342465753;0.19;0.205479452;0.263772955;0.704225352;0.501766784;0.626284875;0.338582677;0.359281437;0.123076923;5;;
0.345132743;0.109589041;0.56;0.061643836;0.133555927;0.478873239;0.342756184;0.501468429;0.440944882;0.251497006;0.323076923;7;;
0.309734513;0.301369863;0.28;0.054794521;0.594323873;0.211267606;0.176678445;0.494126285;0.291338583;0.568862275;0.138461538;5;;
0.247787611;0.321917808;0.08;0.239726027;0.123539232;0.070422535;0.081272085;0.538179148;0.503937008;0.101796407;0.092307692;4;;
0.292035398;0.136986301;0.51;0.061643836;0.549248748;0.225352113;0.176678445;0.501468429;0.236220472;0.449101796;0.123076923;6;;
0.380530973;0.068493151;0.48;0.061643836;0.10851419;0.394366197;0.190812721;0.494126285;0.511811024;0.119760479;0.153846154;6;;
0.265486726;0.184931507;0.31;0.095890411;0.116861436;0.309859155;0.229681979;0.5969163;0.614173228;0.191616766;0.2;5;;
0.292035398;0.212328767;0.21;0.047945205;0.156928214;0.126760563;0.109540636;0.479441997;0.338582677;0.347305389;0.169230769;5;;
0.345132743;0.253424658;0.11;0.095890411;0.120200334;0.112676056;0.215547703;0.494126285;0.338582677;0.119760479;0.153846154;5;;
0.203539823;0.191780822;0.14;0.102739726;0.121869783;0.281690141;0.120141343;0.494126285;0.543307087;0.179640719;0.2;6;;
0.150442478;0.184931507;0.16;0.034246575;0.113522538;0.14084507;0.060070671;0.398678414;0.472440945;0.137724551;0.138461538;5;;
0.265486726;0.198630137;0.24;0.061643836;0.113522538;0.042253521;0.017667845;0.450073421;0.42519685;0.155688623;0.169230769;5;;
0.292035398;0.212328767;0.21;0.047945205;0.156928214;0.126760563;0.109540636;0.479441997;0.338582677;0.347305389;0.169230769;5;;
0.221238938;0.404109589;0;0.068493151;0.113522538;0.183098592;0.102473498;0.52349486;0.57480315;0.131736527;0.153846154;5;;
0.283185841;0.359589041;0;0.075342466;0.116861436;0.098591549;0.035335689;0.464757709;0.503937008;0.155688623;0.215384615;6;;
0.185840708;0.380136986;0.07;0.102739726;0.128547579;0.225352113;0.268551237;0.420704846;0.480314961;0.125748503;0.261538462;5;;
0.203539823;0.386986301;0;0.109589041;0.155258765;0.295774648;0.109540636;0.479441997;0.566929134;0.143712575;0.338461538;6;;
0.327433628;0.366438356;0.12;0.095890411;0.118530885;0.197183099;0.378091873;0.479441997;0.338582677;0.19760479;0.215384615;5;;
0.203539823;0.332191781;0.12;0.671232877;0.101836394;0.549295775;0.272084806;0.677679883;0.559055118;0.113772455;0.153846154;6;;
0.053097345;0.136986301;0.25;0.061643836;0.151919866;0.169014085;0.155477032;0.413362702;0.503937008;0.131736527;0.123076923;5;;
0.283185841;0.359589041;0;0.315068493;0.123539232;0.056338028;0.042402827;0.626284875;0.519685039;0.131736527;0.184615385;6;;
0.283185841;0.328767123;0.14;0.102739726;0.123539232;0.028169014;0.03180212;0.545521292;0.535433071;0.161676647;0.369230769;6;;
0.309734513;0.178082192;0.28;0.082191781;0.09015025;0.169014085;0.084805654;0.494126285;0.385826772;0.239520958;0.2;7;;
0.097345133;0.691780822;0.09;0.04109589;0.267111853;0.084507042;0.045936396;0.288546256;0.598425197;0.089820359;0.215384615;4;;
0.238938053;0.226027397;0.36;0.342465753;0.103505843;0.154929577;0.286219081;0.567547724;0.464566929;0.299401198;0.323076923;5;;
0.238938053;0.226027397;0.36;0.342465753;0.103505843;0.154929577;0.286219081;0.567547724;0.464566929;0.299401198;0.323076923;5;;
0.371681416;0.335616438;0.3;0.130136986;0.12687813;0.225352113;0.141342756;0.552863436;0.409448819;0.107784431;0.138461538;4;;
0.256637168;0.253424658;0.2;0.116438356;0.534223706;0.098591549;0.028268551;0.494126285;0.37007874;0.341317365;0.323076923;6;;
0.309734513;0.369863014;0.22;0.089041096;0.095158598;0.112676056;0.060070671;0.494126285;0.440944882;0.520958084;0.292307692;5;;
0.194690265;0.376712329;0.02;0.061643836;0.063439065;0.056338028;0.017667845;0.450073421;0.582677165;0.113772455;0.169230769;5;;
0;0.273972603;0.15;0.082191781;0.070116861;0.098591549;0.208480565;0.244493392;0.913385827;0.137724551;0.723076923;4;;
0.274336283;0.558219178;0.43;0.089041096;0.170283806;0.295774648;0.381625442;0.508810573;0.401574803;0.239520958;0.123076923;5;;
0.362831858;0.116438356;0.52;0.047945205;0.168614357;0.154929577;0.109540636;0.501468429;0.401574803;0.149700599;0.169230769;5;;
0.159292035;0.191780822;0.23;0.047945205;0.09015025;0.056338028;0.021201413;0.420704846;0.472440945;0.137724551;0.123076923;5;;
0.088495575;0.130136986;0.37;0.034246575;0.103505843;0.154929577;0.318021201;0.39133627;0.456692913;0.149700599;0.123076923;5;;
0.371681416;0.369863014;0.26;0.054794521;0.103505843;0.042253521;0.060070671;0.516152717;0.322834646;0.245508982;0.123076923;5;;
0.17699115;0.273972603;0.04;0.089041096;0.095158598;0.098591549;0.03180212;0.406020558;0.519685039;0.179640719;0.153846154;6;;
0.17699115;0.260273973;0.04;0.082191781;0.093489149;0.070422535;0.028268551;0.398678414;0.511811024;0.185628743;0.153846154;6;;
0.353982301;0.178082192;0.36;0.143835616;0.115191987;0.408450704;0.399293286;0.508810573;0.362204724;0.137724551;0.153846154;5;;
0.265486726;0.267123288;0.15;0.130136986;0.16360601;0.450704225;0.236749117;0.398678414;0.338582677;0.179640719;0.276923077;6;;
0.274336283;0.342465753;0.04;0.198630137;0.120200334;0.338028169;0.137809187;0.567547724;0.472440945;0.119760479;0.169230769;5;;
0.495575221;0.205479452;0.57;0.171232877;0.096828047;0.042253521;0.014134276;0.516152717;0.236220472;0.179640719;0.184615385;5;;
0.256637168;0.349315068;0.12;0.287671233;0.165275459;0.690140845;0.367491166;0.604258443;0.409448819;0.263473054;0.153846154;5;;
0.283185841;0.321917808;0.18;0.095890411;0.106844741;0.225352113;0.169611307;0.545521292;0.543307087;0.155688623;0.246153846;5;;
0.238938053;0.184931507;0.31;0.102739726;0.103505843;0.112676056;0.141342756;0.450073421;0.527559055;0.125748503;0.153846154;6;;
0.371681416;0.191780822;0.4;0.089041096;0.111853088;0.253521127;0.16254417;0.582232012;0.551181102;0.185628743;0.123076923;5;;
0.274336283;0.390410959;0.49;0.061643836;0.171953255;0.267605634;0.374558304;0.494126285;0.37007874;0.22754491;0.138461538;5;;
0.256637168;0.273972603;0.16;0.068493151;0.121869783;0.154929577;0.102473498;0.494126285;0.503937008;0.173652695;0.169230769;7;;
0.212389381;0.421232877;0.05;0.075342466;0.115191987;0.169014085;0.169611307;0.479441997;0.511811024;0.143712575;0.215384615;5;;
0.230088496;0.414383562;0.05;0.256849315;0.123539232;0.042253521;0.017667845;0.450073421;0.527559055;0.035928144;0.384615385;5;;
0.230088496;0.414383562;0.05;0.256849315;0.123539232;0.042253521;0.017667845;0.450073421;0.527559055;0.035928144;0.384615385;5;;
0.256637168;0.273972603;0.11;0.04109589;0.111853088;0.14084507;0.116607774;0.494126285;0.535433071;0.149700599;0.184615385;5;;
0.17699115;0.400684932;0.07;0.047945205;0.106844741;0.070422535;0.03180212;0.450073421;0.551181102;0.149700599;0.353846154;5;;
0.415929204;0.136986301;0.57;0.075342466;0.103505843;0.366197183;0.208480565;0.501468429;0.42519685;0.275449102;0.353846154;5;;
0.300884956;0.400684932;0.05;0.068493151;0.103505843;0.098591549;0.045936396;0.450073421;0.472440945;0.371257485;0.323076923;6;;
0.274336283;0.349315068;0.08;0.068493151;0.106844741;0.197183099;0.074204947;0.486784141;0.456692913;0.125748503;0.169230769;6;;
0.274336283;0.376712329;0.23;0.082191781;0.12687813;0.225352113;0.318021201;0.450073421;0.456692913;0.089820359;0.169230769;5;;
0.274336283;0.390410959;0.22;0.068493151;0.120200334;0.23943662;0.310954064;0.442731278;0.448818898;0.089820359;0.169230769;5;;
0.327433628;0.380136986;0.26;0.082191781;0.120200334;0.14084507;0.130742049;0.552863436;0.448818898;0.119760479;0.123076923;4;;
0.451327434;0.136986301;0.54;0.109589041;0.136894825;0.38028169;0.272084806;0.611600587;0.42519685;0.293413174;0.184615385;5;;
0.371681416;0.198630137;0.64;0.089041096;0.135225376;0.112676056;0.127208481;0.626284875;0.62992126;0.19760479;0.323076923;5;;
0.371681416;0.198630137;0.64;0.089041096;0.135225376;0.112676056;0.127208481;0.626284875;0.62992126;0.19760479;0.323076923;5;;
0.194690265;0.455479452;0;0.102739726;0.153589316;0.183098592;0.084805654;0.479441997;0.614173228;0.131736527;0.353846154;6;;
0.185840708;0.431506849;0.12;0.075342466;0.123539232;0.154929577;0.261484099;0.420704846;0.503937008;0.113772455;0.261538462;5;;
0.327433628;0.345890411;0.2;0.04109589;0.113522538;0.366197183;0.399293286;0.52349486;0.330708661;0.473053892;0.107692308;4;;
0.14159292;0.226027397;0.2;0.047945205;0.095158598;0.028169014;0.03180212;0.420704846;0.527559055;0.137724551;0.123076923;5;;
0.283185841;0.212328767;0.7;0.068493151;0.754590985;0.295774648;0.215547703;0.538179148;0.307086614;0.568862275;0.153846154;5;;
0.247787611;0.260273973;0.47;0.075342466;0.123539232;0.281690141;0.236749117;0.508810573;0.488188976;0.143712575;0.107692308;5;;
0.238938053;0.376712329;0.26;0.061643836;0.649415693;0.211267606;0.159010601;0.501468429;0.330708661;0.48502994;0.153846154;5;;
0.150442478;0.123287671;0.48;0.061643836;0.095158598;0.23943662;0.19434629;0.42804699;0.551181102;0.269461078;0.292307692;6;;
0.203539823;0.294520548;0.15;0.089041096;0.106844741;0.253521127;0.120141343;0.442731278;0.527559055;0.155688623;0.261538462;5;;
0.353982301;0.253424658;0.28;0.068493151;0.16360601;0.267605634;0.459363958;0.52349486;0.149606299;0.97005988;0.230769231;6;;
0.274336283;0.253424658;0.26;0.068493151;0.083472454;0.112676056;0.088339223;0.479441997;0.511811024;0.185628743;0.184615385;5;;
0.415929204;0.184931507;0.44;0.082191781;0.158597663;0.464788732;0.4204947;0.567547724;0.31496063;0.532934132;0.169230769;5;;
0.212389381;0.342465753;0.08;0.061643836;0.106844741;0.098591549;0.06360424;0.567547724;0.582677165;0.119760479;0.092307692;5;;
0.292035398;0.273972603;0.26;0.068493151;0.111853088;0.577464789;0.473498233;0.464757709;0.385826772;0.125748503;0.169230769;5;;
0.353982301;0.253424658;0.28;0.068493151;0.16360601;0.267605634;0.459363958;0.52349486;0.149606299;0.97005988;0.230769231;6;;
0.353982301;0.253424658;0.29;0.075342466;0.16360601;0.253521127;0.448763251;0.52349486;0.149606299;0.988023952;0.215384615;5;;
0.274336283;0.253424658;0.26;0.068493151;0.083472454;0.112676056;0.088339223;0.479441997;0.511811024;0.185628743;0.184615385;5;;
0.03539823;0.616438356;0.04;0.034246575;0.05509182;0.563380282;0.279151943;0.273861968;0.795275591;0.089820359;0.323076923;4;;
0.008849558;0.328767123;0.17;0.095890411;0.076794658;0.225352113;0.35335689;0.229809104;0.874015748;0.161676647;0.692307692;6;;
0.194690265;0.448630137;0;0.143835616;0.150250417;0.098591549;0.060070671;0.472099853;0.559055118;0.137724551;0.353846154;5;;
0.212389381;0.260273973;0.25;0.075342466;0.096828047;0.028169014;0.056537102;0.457415565;0.401574803;0.179640719;0.123076923;5;;
0.265486726;0.534246575;0.06;0.109589041;0.111853088;0.056338028;0.014134276;0.486784141;0.511811024;0.137724551;0.215384615;5;;
0.309734513;0.29109589;0.18;0.068493151;0.113522538;0.169014085;0.102473498;0.52349486;0.440944882;0.155688623;0.092307692;6;;
0.327433628;0.335616438;0.3;0.082191781;0.120200334;0.14084507;0.155477032;0.52349486;0.519685039;0.167664671;0.276923077;6;;
0.283185841;0.260273973;0.3;0.068493151;0.105175292;0.098591549;0.056537102;0.42804699;0.448818898;0.137724551;0.307692308;6;;
0.309734513;0.29109589;0.18;0.068493151;0.113522538;0.169014085;0.102473498;0.52349486;0.440944882;0.155688623;0.092307692;6;;
0.309734513;0.311643836;0.22;0.082191781;0.10851419;0.154929577;0.208480565;0.486784141;0.433070866;0.107784431;0.123076923;5;;
0.230088496;0.253424658;0.24;0.089041096;0.096828047;0.056338028;0.106007067;0.435389134;0.464566929;0.089820359;0.153846154;5;;
0.309734513;0.311643836;0.22;0.082191781;0.10851419;0.154929577;0.208480565;0.486784141;0.433070866;0.107784431;0.123076923;5;;
0.283185841;0.198630137;0.68;0.054794521;0.759599332;0.23943662;0.222614841;0.530837004;0.267716535;0.586826347;0.138461538;5;;
0.14159292;0.349315068;0.31;0.054794521;0.12687813;0.197183099;0.204946996;0.501468429;0.566929134;0.275449102;0.138461538;5;;
0.300884956;0.143835616;0.53;0.109589041;0.131886477;0.23943662;0.261484099;0.552863436;0.496062992;0.281437126;0.184615385;6;;
0.309734513;0.455479452;0.52;0.075342466;0.183639399;0.507042254;0.519434629;0.501468429;0.37007874;0.215568862;0.138461538;5;;
0.283185841;0.301369863;0.19;0.061643836;0.153589316;0.154929577;0.144876325;0.464757709;0.354330709;0.359281437;0.169230769;5;;
0.336283186;0.342465753;0.09;0.089041096;0.120200334;0.14084507;0.360424028;0.464757709;0.322834646;0.19760479;0.215384615;5;;
0.336283186;0.328767123;0.1;0.089041096;0.121869783;0.183098592;0.371024735;0.464757709;0.322834646;0.19760479;0.215384615;5;;
0.486725664;0.130136986;0.44;0.095890411;0.113522538;0.295774648;0.141342756;0.640969163;0.456692913;0.203592814;0.2;6;;
0.283185841;0.301369863;0.19;0.061643836;0.153589316;0.154929577;0.144876325;0.464757709;0.354330709;0.359281437;0.169230769;5;;
0.424778761;0.191780822;0.31;0.089041096;0.130217028;0.169014085;0.197879859;0.479441997;0.25984252;0.179640719;0.323076923;6;;
0.327433628;0.287671233;0.28;0.068493151;0.10851419;0.14084507;0.120141343;0.567547724;0.511811024;0.167664671;0.246153846;6;;
0.283185841;0.301369863;0.12;0.075342466;0.116861436;0.084507042;0.077738516;0.508810573;0.496062992;0.101796407;0.153846154;6;;
0.371681416;0.294520548;0.04;0.089041096;0.178631052;0.183098592;0.176678445;0.450073421;0.37007874;0.161676647;0.384615385;6;;
0.212389381;0.390410959;0.08;0.061643836;0.141903172;0.295774648;0.293286219;0.42804699;0.472440945;0.125748503;0.123076923;6;;
0.238938053;0.650684932;0.09;0.054794521;0.277128548;0.126760563;0.293286219;0.450073421;0.440944882;0.143712575;0.092307692;5;;
0.371681416;0.294520548;0.04;0.089041096;0.178631052;0.183098592;0.176678445;0.450073421;0.37007874;0.161676647;0.384615385;6;;
0.238938053;0.393835616;0;0.109589041;0.105175292;0.028169014;0.024734982;0.582232012;0.590551181;0.113772455;0.123076923;5;;
0.300884956;0.404109589;0;0.116438356;0.113522538;0.14084507;0.098939929;0.552863436;0.551181102;0.119760479;0.169230769;5;;
0.283185841;0.260273973;0.17;0.047945205;0.116861436;0.281690141;0.339222615;0.435389134;0.511811024;0.089820359;0.169230769;5;;
0.389380531;0.342465753;0.04;0.068493151;0.223706177;0.366197183;0.296819788;0.611600587;0.330708661;0.221556886;0.153846154;5;;
0.318584071;0.828767123;0;0.054794521;0.115191987;0.028169014;0.021201413;0.464757709;0.622047244;0.095808383;0.384615385;5;;
0.309734513;0.828767123;0;0.061643836;0.116861436;0.028169014;0.021201413;0.464757709;0.62992126;0.089820359;0.384615385;5;;
0.300884956;0.321917808;0.16;0.061643836;0.088480801;0.028169014;0.035335689;0.450073421;0.535433071;0.353293413;0.323076923;7;;
0.132743363;0.178082192;0.15;0.061643836;0.100166945;0.070422535;0.045936396;0.398678414;0.535433071;0.143712575;0.153846154;5;;
0.300884956;0.428082192;0.56;0.075342466;0.176961603;0.408450704;0.45229682;0.494126285;0.393700787;0.19760479;0.153846154;5;;
0.088495575;0.260273973;0.09;0.095890411;0.061769616;0.225352113;0.328621908;0.266519824;0.700787402;0.179640719;0.707692308;5;;
0.088495575;0.260273973;0.09;0.095890411;0.061769616;0.225352113;0.328621908;0.266519824;0.700787402;0.179640719;0.707692308;5;;
0.17699115;0.260273973;0.01;0.04109589;0.080133556;0.225352113;0.070671378;0.376651982;0.519685039;0.149700599;0.215384615;6;;
0.292035398;0.630136986;0.05;0.089041096;0.120200334;0.169014085;0.081272085;0.42804699;0.377952756;0.131736527;0.230769231;6;;
0.336283186;0.428082192;0.11;0.068493151;0.130217028;0.211267606;0.201413428;0.472099853;0.354330709;0.293413174;0.184615385;5;;
0.327433628;0.407534247;0.15;0.061643836;0.128547579;0.126760563;0.16254417;0.494126285;0.385826772;0.263473054;0.169230769;5;;
0.230088496;0.202054795;0.36;0.075342466;0.115191987;0.169014085;0.137809187;0.52349486;0.582677165;0.185628743;0.123076923;5;;
0.283185841;0.301369863;0.19;0.082191781;0.115191987;0.197183099;0.349823322;0.450073421;0.464566929;0.125748503;0.169230769;5;;
0.283185841;0.301369863;0.19;0.075342466;0.115191987;0.225352113;0.360424028;0.450073421;0.456692913;0.125748503;0.169230769;5;;
0.336283186;0.428082192;0.11;0.068493151;0.130217028;0.211267606;0.201413428;0.472099853;0.354330709;0.293413174;0.184615385;5;;
0.327433628;0.407534247;0.15;0.061643836;0.128547579;0.126760563;0.16254417;0.494126285;0.385826772;0.263473054;0.169230769;5;;
0.053097345;0.150684932;0;0.061643836;0.063439065;0.366197183;0.201413428;0.112334802;0.74015748;0.275449102;0.861538462;6;;
0.150442478;0.184931507;0.08;0.054794521;0.09015025;0.028169014;0.049469965;0.39133627;0.472440945;0.149700599;0.153846154;5;;
0.053097345;0.150684932;0;0.061643836;0.063439065;0.366197183;0.201413428;0.112334802;0.74015748;0.275449102;0.861538462;6;;
0.309734513;0.376712329;0.55;0.061643836;0.175292154;0.436619718;0.477031802;0.494126285;0.338582677;0.173652695;0.153846154;5;;
0.10619469;0.383561644;0.02;0.061643836;0.125208681;0.281690141;0.310954064;0.317914831;0.62992126;0.113772455;0.246153846;5;;
0.265486726;0.253424658;0.26;0.047945205;0.373956594;0.126760563;0.28975265;0.494126285;0.291338583;0.281437126;0.138461538;5;;
0.203539823;0.253424658;0.1;0.095890411;0.103505843;0.154929577;0.084805654;0.42804699;0.535433071;0.149700599;0.276923077;6;;
0.318584071;0.191780822;0.44;0.130136986;0.128547579;0.14084507;0.130742049;0.545521292;0.622047244;0.167664671;0.323076923;6;;
0.238938053;0.143835616;0.47;0.082191781;0.10851419;0.056338028;0.017667845;0.420704846;0.464566929;0.119760479;0.292307692;6;;
0.407079646;0.273972603;1;0.171232877;0.998330551;0.436619718;0.222614841;0.699706314;0;1;0.153846154;4;;
0.256637168;0.328767123;0.03;0.061643836;0.138564274;0.338028169;0.328621908;0.361967695;0.480314961;0.125748503;0.261538462;5;;
0.256637168;0.328767123;0.03;0.061643836;0.138564274;0.338028169;0.328621908;0.361967695;0.480314961;0.125748503;0.261538462;5;;
0.221238938;0.212328767;0.42;0.315068493;0.096828047;0.394366197;0.434628975;0.530837004;0.535433071;0.233532934;0.323076923;5;;
0.221238938;0.212328767;0.42;0.315068493;0.098497496;0.38028169;0.431095406;0.530837004;0.535433071;0.22754491;0.323076923;5;;
0.221238938;0.212328767;0.42;0.315068493;0.096828047;0.394366197;0.434628975;0.530837004;0.535433071;0.233532934;0.323076923;5;;
0.221238938;0.212328767;0.42;0.315068493;0.098497496;0.38028169;0.431095406;0.530837004;0.535433071;0.22754491;0.323076923;5;;
0.221238938;0.383561644;0;0.089041096;0.101836394;0.154929577;0.056537102;0.501468429;0.582677165;0.101796407;0.138461538;5;;
0.194690265;0.328767123;0.18;0.068493151;0.111853088;0.23943662;0.282685512;0.494126285;0.669291339;0.143712575;0.138461538;6;;
0.265486726;0.568493151;0.03;0.075342466;0.130217028;0.084507042;0.049469965;0.42804699;0.362204724;0.137724551;0.184615385;5;;
