fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
0.307692308;0.18627451;0.21686747;0.308282209;0.106824926;0.149825784;0.373549884;0.267784847;0.254545455;0.26744186;0.129032258;6
0.240384615;0.215686275;0.204819277;0.015337423;0.118694362;0.041811847;0.285382831;0.13283208;0.527272727;0.313953488;0.241935484;6
0.413461538;0.196078431;0.240963855;0.096625767;0.121661721;0.097560976;0.204176334;0.154038944;0.490909091;0.255813953;0.338709677;6
0.326923077;0.147058824;0.192771084;0.121165644;0.145400593;0.156794425;0.410672854;0.163678427;0.427272727;0.209302326;0.306451613;6
0.326923077;0.147058824;0.192771084;0.121165644;0.145400593;0.156794425;0.410672854;0.163678427;0.427272727;0.209302326;0.306451613;6
0.413461538;0.196078431;0.240963855;0.096625767;0.121661721;0.097560976;0.204176334;0.154038944;0.490909091;0.255813953;0.338709677;6
0.230769231;0.235294118;0.096385542;0.098159509;0.106824926;0.097560976;0.294663573;0.15018315;0.418181818;0.290697674;0.258064516;6
0.307692308;0.18627451;0.21686747;0.308282209;0.106824926;0.149825784;0.373549884;0.267784847;0.254545455;0.26744186;0.129032258;6
0.240384615;0.215686275;0.204819277;0.015337423;0.118694362;0.041811847;0.285382831;0.13283208;0.527272727;0.313953488;0.241935484;6
0.413461538;0.137254902;0.259036145;0.013803681;0.103857567;0.090592334;0.278422274;0.128976287;0.454545455;0.26744186;0.483870968;6
0.413461538;0.18627451;0.246987952;0.01303681;0.071216617;0.031358885;0.125290023;0.071139387;0.245454545;0.395348837;0.64516129;5
0.461538462;0.147058824;0.240963855;0.055214724;0.077151335;0.052264808;0.232018561;0.146327357;0.381818182;0.360465116;0.274193548;5
0.394230769;0.098039216;0.222891566;0.009202454;0.091988131;0.048780488;0.153132251;0.094274147;0.418181818;0.476744186;0.451612903;5
0.269230769;0.078431373;0.240963855;0.013803681;0.103857567;0.160278746;0.310904872;0.078850974;0.745454545;0.348837209;0.709677419;7
0.432692308;0.333333333;0.373493976;0.286042945;0.091988131;0.135888502;0.378190255;0.252361673;0.236363636;0.523255814;0.274193548;5
0.269230769;0.088235294;0.228915663;0.013803681;0.068249258;0.090592334;0.238979118;0.082706767;0.481818182;0.38372093;0.548387097;7
0.240384615;0.392156863;0.024096386;0.007668712;0.109792285;0.097560976;0.208816705;0.10969732;0.472727273;0.162790698;0.258064516;6
0.230769231;0.568627451;0.289156627;0.009202454;0.059347181;0.094076655;0.153132251;0.04029304;0.554545455;0.197674419;0.774193548;8
0.346153846;0.254901961;0.253012048;0.007668712;0.071216617;0.052264808;0.37587007;0.088490457;0.363636364;0.360465116;0.532258065;6
0.259615385;0.225490196;0.084337349;0.105828221;0.103857567;0.111498258;0.287703016;0.16175053;0.454545455;0.325581395;0.241935484;5
0.230769231;0.568627451;0.289156627;0.009202454;0.059347181;0.094076655;0.153132251;0.04029304;0.554545455;0.197674419;0.774193548;8
0.25;0.225490196;0.228915663;0.035276074;0.086053412;0.059233449;0.215777262;0.078850974;0.409090909;0.151162791;0.483870968;7
0.288461538;0.176470588;0.253012048;0.016871166;0.118694362;0.135888502;0.262180974;0.113553114;0.681818182;0.302325581;0.403225806;8
0.365384615;0.578431373;0.084337349;0.013803681;0.192878338;0.080139373;0.368909513;0.12704839;0.3;0.337209302;0.209677419;5
0.269230769;0.18627451;0.246987952;0.010736196;0.127596439;0.048780488;0.308584687;0.154038944;0.636363636;0.290697674;0.322580645;6
0.307692308;0.166666667;0.192771084;0.128834356;0.109792285;0.18815331;0.547563805;0.16175053;0.481818182;0.325581395;0.387096774;6
0.298076923;0.156862745;0.210843373;0.006134969;0.127596439;0.114982578;0.317865429;0.113553114;0.663636364;0.255813953;0.322580645;6
0.307692308;0.196078431;0.234939759;0.124233129;0.12462908;0.104529617;0.306264501;0.17331791;0.6;0.360465116;0.403225806;6
0.346153846;0.18627451;0.289156627;0.007668712;0.112759644;0.052264808;0.285382831;0.082706767;0.427272727;0.313953488;0.580645161;6
0.326923077;0.235294118;0.21686747;0.021472393;0.071216617;0.12195122;0.24361949;0.067283594;0.345454545;0.569767442;0.693548387;7
0.451923077;0.156862745;0.234939759;0.150306748;0.103857567;0.06271777;0.308584687;0.198380567;0.436363636;0.360465116;0.322580645;6
0.432692308;0.058823529;0.204819277;0.007668712;0.097922849;0.017421603;0.088167053;0.1212647;0.681818182;0.209302326;0.35483871;6
0.346153846;0.166666667;0.21686747;0.022239264;0.121661721;0.101045296;0.211136891;0.094274147;0.427272727;0.255813953;0.451612903;6
0.230769231;0.039215686;0.204819277;0.013803681;0.106824926;0.142857143;0.250580046;0.130904184;0.636363636;0.337209302;0.161290323;6
0.192307692;0.18627451;0.120481928;0.220092025;0.103857567;0.069686411;0.394431555;0.175245807;0.590909091;0.174418605;0.35483871;5
0.336538462;0.196078431;0.259036145;0.016871166;0.210682493;0.066202091;0.26450116;0.065355697;0.427272727;0.23255814;0.774193548;5
0.259615385;0.303921569;0.138554217;0.073619632;0.12462908;0.080139373;0.324825986;0.1212647;0.472727273;0.151162791;0.322580645;5
0.307692308;0.245098039;0.192771084;0.009202454;0.130563798;0.12543554;0.299303944;0.067283594;0.372727273;0.069767442;0.516129032;6
0.336538462;0.156862745;0.234939759;0.266104294;0.142433234;0.149825784;0.324825986;0.246577983;0.445454545;0.162790698;0.096774194;5
0.336538462;0.156862745;0.234939759;0.266104294;0.142433234;0.149825784;0.324825986;0.246577983;0.445454545;0.162790698;0.096774194;5
0.278846154;0.147058824;0.234939759;0.029141104;0.483679525;0.212543554;0.345707657;0.12704839;0.354545455;0.162790698;0.225806452;6
0.278846154;0.156862745;0.234939759;0.035276074;0.486646884;0.212543554;0.343387471;0.12704839;0.345454545;0.139534884;0.225806452;6
0.307692308;0.225490196;0.156626506;0.104294479;0.178041543;0.090592334;0.350348028;0.159822634;0.372727273;0.279069767;0.290322581;6
0.269230769;0.156862745;0.162650602;0.012269939;0.142433234;0.108013937;0.331786543;0.1212647;0.454545455;0.395348837;0.241935484;6
0.278846154;0.147058824;0.156626506;0.012269939;0.151335312;0.108013937;0.336426914;0.1212647;0.472727273;0.395348837;0.241935484;6
0.346153846;0.098039216;0.186746988;0.012269939;0.145400593;0.12543554;0.366589327;0.11548101;0.4;0.360465116;0.322580645;7
0.230769231;0.362745098;0.156626506;0.058282209;0.160237389;0.212543554;0.457076566;0.13283208;0.5;0.348837209;0.290322581;4
0.230769231;0.37254902;0.15060241;0.058282209;0.169139466;0.209059233;0.459396752;0.130904184;0.481818182;0.348837209;0.290322581;5
0.307692308;0.225490196;0.156626506;0.104294479;0.178041543;0.090592334;0.350348028;0.159822634;0.372727273;0.279069767;0.290322581;6
0.298076923;0.107843137;0.210843373;0.067484663;0.172106825;0.104529617;0.327146172;0.152111047;0.581818182;0.302325581;0.290322581;5
0.326923077;0.107843137;0.186746988;0.015337423;0.15727003;0.101045296;0.380510441;0.088490457;0.572727273;0.255813953;0.596774194;6
0.269230769;0.166666667;0.174698795;0.007668712;0.175074184;0.128919861;0.266821346;0.082706767;0.563636364;0.418604651;0.483870968;7
0.230769231;0.078431373;0.198795181;0.007668712;0.142433234;0.066202091;0.16937355;0.07499518;0.545454545;0.279069767;0.467741935;7
0.25;0.098039216;0.210843373;0.006134969;0.106824926;0.128919861;0.229698376;0.076923077;0.536363636;0.151162791;0.467741935;6
0.288461538;0.117647059;0.355421687;0.004601227;0.409495549;0.12543554;0.285382831;0.113553114;0.3;0.186046512;0.177419355;6
0.298076923;0.166666667;0.210843373;0.010736196;0.089020772;0.094076655;0.422273782;0.071139387;0.372727273;0.348837209;0.483870968;6
